thema;indicator;eerste_jaar;laatste_jaar;n_metingen;startwaarde;laatste_waarde;eenheid;bron;herkomst;doel_tekst;legitimatie;doelsoort;coalitiedoel;doel;doeljaar;heeft_raming;raming_jaar;raming_waarde;raming_bron;doel_alt;doel_alt_label;richting;helling;r2;projectie;afstand;gat;gat_projectie;status;beweging;verandering;verandering_pct;heeft_streefwaarde
Klimaat en Milieu;Hernieuwbare energie - eindgebruik (%);2020;2024;5;11,47000000000000;20,18000000000000;%;CBS;Rekenkamer;Doel 2030: 39%;Wet implementatie EU-richtlijn hernieuwbare energie;Wet of verdrag;NA;39,0;2030;FALSE;NA;NA;NA;NA;NA;hoger;2,18899999999998e+00;0,99381546145007493;33,042000000000371;0,31638212858699594;1,88200000000000e+01;5,95799999999963e+00;Te traag;Goede kant op;8,7099999999999991;0,75937227550130759;TRUE
Klimaat en Milieu;Kwaliteit oppervlaktewater (biologisch) (% van goede kwaliteit));2021;2024;2;13,90000000000000;14,63000000000000;NA;CBS;Rekenkamer;Doel 2027: 100%;Kaderrichtlijn Water;Overig;NA;100,0;2027;FALSE;NA;NA;NA;NA;NA;hoger;NA;NA;NA;0,00847851335656214;8,53700000000000e+01;NA;Te weinig data;NA;0,7300000000000004;0,05251798561151082;TRUE
Klimaat en Milieu;Kwaliteit oppervlaktewater (chemisch) (% van voldoende kwaliteit));2021;2024;2;9,40000000000000;0,67000000000000;NA;CBS;Rekenkamer;Doel 2027: 100%;Kaderrichtlijn Water;Overig;NA;100,0;2027;FALSE;NA;NA;NA;NA;NA;hoger;NA;NA;NA;-0,09635761589403975;9,93300000000000e+01;NA;Te weinig data;NA;-8,7300000000000004;-0,92872340425531918;TRUE
Klimaat en Milieu;Living Planet Index - NL (fauna het land) (1990 = 100);2020;2024;5;75,00000000000000;69,00000000000000;1990 = 100;CBS;Rekenkamer;een hoger indexgetal is beter;Europese natuurherstelwet;Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;-1,29999999999998e+00;0,76818181818181364;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;-6,0000000000000000;-0,08000000000000000;FALSE
Klimaat en Milieu;Living Planet Index - NL (fauna zoetwater);2020;2024;5;181,00000000000000;159,00000000000000;fauna zoetwater;CBS;Rekenkamer;een hoger indexgetal is beter;Europese natuurherstelwet;Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;-3,89999999999994e+00;0,26461377870563302;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;-22,0000000000000000;-0,12154696132596685;FALSE
Klimaat en Milieu;NOx-uistoot (mobiliteit);2020;2024;5;145,14243124822607;122,40657568456956;mobiliteit;RIVM;Rekenkamer;2035: 80,6;Wet stikstofreductie en natuurverbetering;Wet of verdrag;2035: 50% NOx t.o.v. 2019;80,6;2035;FALSE;NA;NA;NA;NA;NA;lager;-5,58924234947305e+00;0,95822709634683323;61,817554871424363;0,35226214947211798;-4,18065756845696e+01;1,87824451285756e+01;Op koers;Goede kant op;-22,7358555636565143;-0,15664513380496642;TRUE
Klimaat en Milieu;Stikstofdepositie gevoelige natuurgebieden (mol/ha);2020;2025;6;1425,00000000000000;1348,00000000000000;mol/ha;RIVM;Rekenkamer;Doel 2035: 850 mol/ha;Wet stikstofreductie en natuurverbetering;Wet of verdrag;NA;850,0;2035;FALSE;NA;NA;NA;NA;NA;lager;-1,89714285714298e+01;0,21069963043198583;1116,523809523801901;0,13391304347826086;-4,98000000000000e+02;-2,66523809523802e+02;Te traag;Goede kant op;-77,0000000000000000;-0,05403508771929825;TRUE
Overheidsfinanciën & Openbaar bestuur;"""Rule of Law""-index (rang)";2020;2025;6;5,00000000000000;9,00000000000000;rang;World Justice Project;Rekenkamer;een lagere rang (getal) is beter;Breed gehanteerde indicator, score gebaseerd op data 8 thema's zoals corruptie, mensenrechten en strafrecht;Overig;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;8,00000000000116e-01;0,84000000000003472;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;4,0000000000000000;0,80000000000000004;FALSE
Overheidsfinanciën & Openbaar bestuur;"""Rule of Law""-index (score)";2020;2025;6;0,84000000000000;0,82000000000000;score;World Justice Project;Rekenkamer;een hogere score is beter;Breed gehanteerde indicator, score gebaseerd op data 8 thema's zoals corruptie, mensenrechten en strafrecht;Overig;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;-2,85714285714309e-03;0,71428571428564314;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;-0,0200000000000000;-0,02380952380952383;FALSE
Overheidsfinanciën & Openbaar bestuur;EMU-saldo (% BBP);1995;2025;31;-8,70000000000000;-1,60000000000000;% BBP;CBS StatLine 84118NED;CBS;niet lager dan -3%;"Verdrag van Maastricht; Wet HOF; SGP";Wet of verdrag;niet lager dan -3%;-3,0;2030;FALSE;NA;NA;NA;NA;NA;hoger;-2,67878787878784e-01;0,20639106164137350;-2,904848484848458;1,24561403508771940;-1,40000000000000e+00;-9,51515151515423e-02;Doel gehaald;Verkeerde kant op;7,0999999999999996;0,81609195402298851;TRUE
Overheidsfinanciën & Openbaar bestuur;EMU-saldo (€ mld);2020;2025;6;-30,34700000000000;-18,70000000000000;€ mld;CBS;Rekenkamer;NA;"Verdrag van Maastricht; Wet HOF; SGP";Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;1,93922857142804e+00;0,03972426727336927;NA;NA;NA;NA;Alleen richting;Goede kant op;11,6470000000000020;0,38379411473951303;FALSE
